radius_2,radius_3,metric_name,mol_prop,split_type,nbit,p_value,stats_method
Radius: 2,Radius: 3,Pearson_R,CYP3A4,random,NumBits: 1024,0.1241512810914928,ranksums
Radius: 2,Radius: 3,MAE,CYP3A4,random,NumBits: 1024,1.1328802005184729e-11,ttest_rel
Radius: 2,Radius: 3,MAE,CYP3A4,random,NumBits: 1024,1.9209211049031396e-06,wilcoxon
Radius: 2,Radius: 3,MAE,CYP3A4,random,NumBits: 1024,0.007995099538149902,ttest_ind
Radius: 2,Radius: 3,MAE,CYP3A4,random,NumBits: 1024,0.012469625319240047,ranksums
Radius: 2,Radius: 3,RMSE,MOR,random,NumBits: 1024,0.34043317277222107,ttest_rel
Radius: 2,Radius: 3,RMSE,MOR,random,NumBits: 1024,0.7188875621362669,wilcoxon
Radius: 2,Radius: 3,RMSE,MOR,random,NumBits: 1024,0.6955012062245354,ttest_ind
Radius: 2,Radius: 3,RMSE,MOR,random,NumBits: 1024,0.49645154752910825,ranksums
Radius: 2,Radius: 3,R2,MOR,random,NumBits: 1024,0.3540717711561501,ttest_rel
Radius: 2,Radius: 3,R2,MOR,random,NumBits: 1024,0.6883592982254604,wilcoxon
Radius: 2,Radius: 3,R2,MOR,random,NumBits: 1024,0.6739014507562895,ttest_ind
Radius: 2,Radius: 3,R2,MOR,random,NumBits: 1024,0.6256305639654389,ranksums
Radius: 2,Radius: 3,Pearson_R,MOR,random,NumBits: 1024,0.4553859743926393,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MOR,random,NumBits: 1024,0.7970983030067952,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MOR,random,NumBits: 1024,0.7335863090091732,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MOR,random,NumBits: 1024,0.72271979157106,ranksums
Radius: 2,Radius: 3,MAE,MOR,random,NumBits: 1024,0.004455751725403893,ttest_rel
Radius: 2,Radius: 3,MAE,MOR,random,NumBits: 1024,0.007271049691046206,wilcoxon
Radius: 2,Radius: 3,MAE,MOR,random,NumBits: 1024,0.2732566876030823,ttest_ind
Radius: 2,Radius: 3,MAE,MOR,random,NumBits: 1024,0.27393415445229274,ranksums
Radius: 2,Radius: 3,RMSE,DOR,random,NumBits: 1024,0.7530863241584882,ttest_rel
Radius: 2,Radius: 3,RMSE,DOR,random,NumBits: 1024,0.9753871641763363,wilcoxon
Radius: 2,Radius: 3,RMSE,DOR,random,NumBits: 1024,0.9281232350429367,ttest_ind
Radius: 2,Radius: 3,RMSE,DOR,random,NumBits: 1024,0.9058494458660942,ranksums
Radius: 2,Radius: 3,R2,DOR,random,NumBits: 1024,0.8567658010329593,ttest_rel
Radius: 2,Radius: 3,R2,DOR,random,NumBits: 1024,0.9917945644340904,wilcoxon
Radius: 2,Radius: 3,R2,DOR,random,NumBits: 1024,0.9562573967113174,ttest_ind
Radius: 2,Radius: 3,R2,DOR,random,NumBits: 1024,0.9528424295801989,ranksums
Radius: 2,Radius: 3,Pearson_R,DOR,random,NumBits: 1024,0.7770356427697243,ttest_rel
Radius: 2,Radius: 3,Pearson_R,DOR,random,NumBits: 1024,0.7343252914391281,wilcoxon
Radius: 2,Radius: 3,Pearson_R,DOR,random,NumBits: 1024,0.9319332074845127,ttest_ind
Radius: 2,Radius: 3,Pearson_R,DOR,random,NumBits: 1024,0.9058494458660942,ranksums
Radius: 2,Radius: 3,MAE,DOR,random,NumBits: 1024,0.9122924184197132,ttest_rel
Radius: 2,Radius: 3,MAE,DOR,random,NumBits: 1024,0.6732798065233047,wilcoxon
Radius: 2,Radius: 3,MAE,DOR,random,NumBits: 1024,0.9744652457931082,ttest_ind
Radius: 2,Radius: 3,MAE,DOR,random,NumBits: 1024,0.8708108045360416,ranksums
Radius: 2,Radius: 3,RMSE,KOR,random,NumBits: 1024,0.010620259498931424,ttest_rel
Radius: 2,Radius: 3,RMSE,KOR,random,NumBits: 1024,0.008216736457590426,wilcoxon
Radius: 2,Radius: 3,RMSE,KOR,random,NumBits: 1024,0.3806188428834131,ttest_ind
Radius: 2,Radius: 3,RMSE,KOR,random,NumBits: 1024,0.38305504584585626,ranksums
Radius: 2,Radius: 3,R2,KOR,random,NumBits: 1024,0.011941676608355522,ttest_rel
Radius: 2,Radius: 3,R2,KOR,random,NumBits: 1024,0.006835856425301226,wilcoxon
Radius: 2,Radius: 3,R2,KOR,random,NumBits: 1024,0.5043799161142949,ttest_ind
Radius: 2,Radius: 3,R2,KOR,random,NumBits: 1024,0.39938939501369475,ranksums
Radius: 2,Radius: 3,Pearson_R,KOR,random,NumBits: 1024,0.03691589610965876,ttest_rel
Radius: 2,Radius: 3,Pearson_R,KOR,random,NumBits: 1024,0.028485956184747342,wilcoxon
Radius: 2,Radius: 3,Pearson_R,KOR,random,NumBits: 1024,0.5760396959262599,ttest_ind
Radius: 2,Radius: 3,Pearson_R,KOR,random,NumBits: 1024,0.5346352407039292,ranksums
Radius: 2,Radius: 3,MAE,KOR,random,NumBits: 1024,9.983134014083554e-05,ttest_rel
Radius: 2,Radius: 3,MAE,KOR,random,NumBits: 1024,0.000489690070533264,wilcoxon
