split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,Precision_PPV,DOR,molbert,cutoff6,0.5894511694056184,ranksums
scaffold,Precision_PPV,DOR,grover_base,cutoff6,0.11689918813537875,ttest_rel
scaffold,Precision_PPV,DOR,grover_base,cutoff6,0.14138951131633032,wilcoxon
scaffold,Precision_PPV,DOR,grover_base,cutoff6,0.3223048592177602,ttest_ind
scaffold,Precision_PPV,DOR,grover_base,cutoff6,0.20887092391866158,ranksums
scaffold,Precision_PPV,DOR,grover_base_rdkit,cutoff6,0.21549535561890554,ttest_rel
scaffold,Precision_PPV,DOR,grover_base_rdkit,cutoff6,0.3285710735610371,wilcoxon
scaffold,Precision_PPV,DOR,grover_base_rdkit,cutoff6,0.34606648240908244,ttest_ind
scaffold,Precision_PPV,DOR,grover_base_rdkit,cutoff6,0.5346352407039292,ranksums
scaffold,Precision_NPV,DOR,RF,cutoff6,3.372492380097192e-05,ttest_rel
scaffold,Precision_NPV,DOR,RF,cutoff6,5.7924461897570095e-05,wilcoxon
scaffold,Precision_NPV,DOR,RF,cutoff6,0.000124583983131924,ttest_ind
scaffold,Precision_NPV,DOR,RF,cutoff6,0.0006373466312952018,ranksums
scaffold,Precision_NPV,DOR,molbert,cutoff6,0.06304316060382406,ttest_rel
scaffold,Precision_NPV,DOR,molbert,cutoff6,0.04716174720825457,wilcoxon
scaffold,Precision_NPV,DOR,molbert,cutoff6,0.0724105609719382,ttest_ind
scaffold,Precision_NPV,DOR,molbert,cutoff6,0.20094889697592833,ranksums
scaffold,Precision_NPV,DOR,grover_base,cutoff6,0.05857847323184485,ttest_rel
scaffold,Precision_NPV,DOR,grover_base,cutoff6,0.09367559653193051,wilcoxon
scaffold,Precision_NPV,DOR,grover_base,cutoff6,0.12080482843307026,ttest_ind
scaffold,Precision_NPV,DOR,grover_base,cutoff6,0.07604147583024336,ranksums
